# Generated from chinese-idiom-chengyu 1.1.0 WordPinyinPairs.json.
# Format: text<TAB>pinyin<TAB>weight<TAB>source-tier
# Tier 1 keeps dictionary-only idioms behind primary conversational words.
一无所求	yi wu suo qiu	1	1
一无所知	yi wu suo zhi	1	1
一无所能	yi wu suo neng	1	1
一无所获	yi wu suo huo	1	1
一无所长	yi wu suo chang	1	1
一无所闻	yi wu suo wen	1	1
一无是处	yi wu shi chu	1	1
一无长物	yi wu chang wu	1	1
一日万几	yi ri wan ji	1	1
一日万机	yi ri wan ji	1	1
一日万里	yi ri wan li	1	1
一日三复	yi ri san fu	1	1
一日三岁	yi ri san sui	1	1
一日三月	yi ri san yue	1	1
一日三省	yi ri san xing	1	1
一日三秋	yi ri san qiu	1	1
一日三覆	yi ri san fu	1	1
一日之长	yi ri zhi zhang	1	1
一日之雅	yi ri zhi ya	1	1
一日九迁	yi ri jiu qian	1	1
一日千丈	yi ri qian zhang	1	1
一日千里	yi ri qian li	1	1
一旦一夕	yi dan yi xi	1	1
一时三刻	yi shi san ke	1	1
一时之权	yi shi zhi quan	1	1
一时之秀	yi shi zhi xiu	1	1
一时之选	yi shi zhi xuan	1	1
一时伯仲	yi shi bo zhong	1	1
一时千载	yi shi qian zai	1	1
一时半刻	yi shi ban ke	1	1
一时半晌	yi shi ban shang	1	1
一时半霎	yi shi ban sha	1	1
一星半点	yi xing ban dian	1	1
一晦一明	yi hui yi ming	1	1
一暝不视	yi ming bu shi	1	1
一暴十寒	yi pu shi han	1	1
一曝十寒	yi pu shi han	1	1
一曲阳关	yi qu yang guan	1	1
一望无垠	yi wang wu yin	1	1
一望无边	yi wang wu bian	1	1
一望无际	yi wang wu ji	1	1
一望而知	yi wang er zhi	1	1
一朝一夕	yi zhao yi xi	1	1
一朝之忿	yi zhao zhi fen	1	1
一朝之患	yi zhao zhi huan	1	1
一朝千里	yi zhao qian li	1	1
一朝天子一朝臣	yi chao tian zi yi chao chen	1	1
一木难支	yi mu nan zhi	1	1
一本万利	yi ben wan li	1	1
一本正经	yi ben zheng jing	1	1
一来一往	yi lai yi wang	1	1
一来二去	yi lai er qu	1	1
一板一眼	yi ban yin yan	1	1
一板三眼	yi ban san yan	1	1
一枕南柯	yi zhen nan ke	1	1
一枕槐安	yi zhen huai an	1	1
一枕邯郸	yi zhen han dan	1	1
一枕黄梁	yi zhen huang liang	1	1
一枕黄粱	yi zhen huang liang	1	1
一枝一栖	yi zhi yi qi	1	1
一枝一节	yi zhi yi jie	1	1
一枝之栖	yi zhi zhi qi	1	1
一柱承天	yi zhu cheng tian	1	1
一柱擎天	yi zhu qing tian	1	1
一树百获	yi shu bai huo	1	1
一根一板	yi gen yi ban	1	1
一梦华胥	yi meng hua xu	1	1
一棍子打死	yi gun zi da si	1	1
一棒一条痕	yi bang yi tiao hen	1	1
一概而论	yi gai er lun	1	1
一榻横陈	yi ta heng chen	1	1
一榻胡涂	yi ta hu tu	1	1
一槌定音	yi chui ding yin	1	1
一模一样	yi mo yi yang	1	1
一模二样	yi mo er yang	1	1
一步一个脚印	yi bu yi ge jiao yin	1	1
一步一趋	yi bu yi qu	1	1
一步一鬼	yi bu yi gui	1	1
一步登天	yi bu deng tian	1	1
一死一生	yi si yi sheng	1	1
一毛不拔	yi mao bu ba	1	1
一毫不差	yi hao bu cha	1	1
一毫不染	yi hao bu ran	1	1
一毫不苟	yi hao bu gou	1	1
一毫千里	yi hao qian li	1	1
一民同俗	yi min tong su	1	1
一气呵成	yi qi he cheng	1	1
一气浑成	yi qi hun cheng	1	1
一波万波	yi bo wan bo	1	1
一波三折	yi bo san zhe	1	1
一波才动万波随	yi bo cai dong wan bo sui	1	1
一泻万里	yi xie wan li	1	1
一泻千里	yi xie qian li	1	1
